"","longitude","latitude","name","values"
"1",-112.15536,35.94581,"GRAND CANYON NATIONAL PARK AP",1
"2",-109.38006,34.51838,"ST JOHNS INDUSTRIAL AIR PARK",0
"3",-112.8599,32.3698,"AJO",1
"4",-109.5394,36.1533,"CANYON DE CHELLY",0
"5",-111.73,35.27194,"FORT VALLEY",1
"6",-114.2908,34.1547,"PARKER",0
"7",-112.4322,34.5706,"PRESCOTT",2
"8",-109.4012,34.5181,"SAINT JOHNS",0
"9",-112.87947,35.33186,"SELIGMAN",2
"10",-110.0686,31.7119,"TOMBSTONE",2
"11",-112.1929,35.2413,"WILLIAMS",1
"12",-110.2541,31.3455,"CORONADO NATIONAL MEMORIAL",1
"13",-110.968,31.4554,"NOGALES 6 N",1
"14",-111.5436,31.483,"SASABE",1
"15",-110.76028,31.53923,"PATAGONIA PATON CENTER",1
"16",-111.31709,31.57669,"ARIVACA",3
"17",-109.6686,31.6016,"MC NEAL",1
"18",-109.2187,31.9352,"PARADISE",1
"19",-110.2403,31.8805,"BENSON 6 SE",1
"20",-112.8002,31.9555,"ORGAN PIPE CACTUS NM",1
"21",-111.3837,31.9793,"ANVIL RANCH",1
"22",-109.3572,32.0061,"CHIRICAHUA NATIONAL MONUMENT",1
"23",-110.7363,32.1794,"SAGUARO NATIONAL PARK",0
"24",-109.22691,32.29329,"SAN SIMON",1
"25",-109.8369,32.2553,"WILLCOX",1
"26",-110.75454,32.4487,"MT. LEMMON FIRE DEPT",1
"27",-110.62908,32.60135,"SAN MANUEL",1
"28",-111.71269,33.6009,"FOUNTAIN HILLS",0
"29",-114.61667,32.65,"YUMA MCAS",0
"30",-113.9191,32.7225,"TACNA 3 NE",1
"31",-109.63603,32.85654,"SAFFORD MUNICIPAL AP",1
"32",-114.3942,32.8356,"YUMA PROVING GROUND",0
"33",-111.7147,32.8875,"CASA GRANDE",0
"34",-111.5367,32.9947,"CASA GRANDE NATL MONUMENT",0
"35",-112.00365,33.4278,"PHOENIX AIRPORT",0
"36",-111.72121,33.46588,"MESA FALCON FIELD",1
"37",-112.2433,33.4519,"TOLLESON 1 E",0
"38",-111.44474,33.55392,"MORMON FLAT",0
"39",-111.53658,33.559,"STEWART MOUNTAIN DAM",1
"40",-112.30067,33.59434,"YOUNGTOWN",0
"41",-111.92317,33.61234,"SCOTTSDALE MUNICIPAL AP",0
"42",-112.06616,33.69021,"PHOENIX DEER VALLEY MUNICIPAL AP",0
"43",-111.6497,33.8097,"BARTLETT DAM",0
"44",-111.9019,33.8161,"CAREFREE",0
"45",-109.1469,33.8492,"ALPINE",1
"46",-109.563,33.9733,"SUNRISE MOUNTAIN",1
"47",-110.9659,34.1003,"PLEASANT VALLEY",0
"48",-109.275,34.1311,"SPRINGERVILLE",1
"49",-111.3446,34.2326,"PAYSON",1
"50",-111.4532,34.322,"NATURAL BRIDGE",1
"51",-112.5619,34.3117,"WALNUT GROVE",0
"52",-110.558,34.3925,"HEBER (BLACK MESA) RANGER STATION",1
"53",-112.42234,34.64915,"PRESCOTT LOVE FIELD",2
"54",-113.1745,34.5975,"BAGDAD",0
"55",-111.1922,34.6108,"BLUE RIDGE RANGER STATION",1
"56",-113.6124,34.7055,"WIKIEUP",0
"57",-112.11152,34.7538,"JEROME",0
"58",-110.72206,35.02795,"WINSLOW AIRPORT",0
"59",-109.77994,35.06754,"PAINTED DESERT NATIONAL PARK",0
"60",-111.66637,35.14427,"FLAGSTAFF AP",1
"61",-114.5686,35.1411,"BULLHEAD CITY",0
"62",-111.5097,35.1721,"WALNUT CANYON NATIONAL MONUMENT",1
"63",-111.5436,35.3694,"SUNSET CRATER NATIONAL MONUMENT",1
"64",-111.37181,35.51974,"WUPATKI NM",1
"65",-112.0947,36.1066,"PHANTOM RANCH",0
"66",-112.0619,36.2147,"BRIGHT ANGEL RANGER STATION",2
"67",-110.5411,36.6778,"BETATAKIN",0
"68",-112.7374,36.8626,"PIPE SPRING NATIONAL MONUMENT",0
"69",-109.09,36.9233,"TEEC NOS POS",0
"70",-111.44874,36.92112,"PAGE MUNICIPAL AP",0
"71",-110.28073,31.53699,"SIERRA VISTA",1
"72",-111.4813,33.4625,"APACHE JUNCTION 5 NE",1
"73",-114.3604,34.5031,"LAKE HAVASU CITY",0
"74",-111.4017,32.6463,"PICACHO 8 SE",1
"75",-110.9977,31.893,"GREEN VALLEY",2
"76",-110.7247,32.1263,"VAIL 7 N",3
"77",-109.06028,35.65708,"WINDOW ROCK AIRPORT",0
"78",-110.84655,31.42076,"NOGALES INTL AP",2
"79",-109.6061,31.4583,"DOUGLAS (BISBEE) INTL AP",2
"80",-113.93405,35.25745,"KINGMAN AIRPORT",1
"81",-111.92168,33.42544,"TEMPE ASU",0
"82",-110.0075,34.2639,"SHOW LOW AIRPORT",2
"83",-110.95638,32.13153,"TUCSON INTERNATIONAL AIRPORT",2
"84",-111.9697,33.57808,"PARADISE VALLEY 2.8 NNW",1
"85",-111.63171,33.44236,"MESA 11.0 E",0
"86",-111.85761,33.63351,"SCOTTSDALE 9.4 NNE",0
"87",-111.74325,33.58733,"FOUNTAIN HILLS 2.5 SW",1
"88",-111.766,33.294,"GILBERT 4.0 SSE",0
"89",-111.95031,33.37071,"TEMPE 4.0 SW",0
"90",-112.06042,33.55098,"PHOENIX 7.7 N",1
"91",-111.74901,33.22036,"GILBERT 9.1 SSE",0
"92",-111.0271,32.2513,"TUCSON 6.6 WNW",1
"93",-111.00459,32.24641,"TUCSON 5.3 WNW",1
"94",-110.66393,31.88172,"VAIL 8.6 SSE",2
"95",-111.0515,32.3585,"TUCSON 12.3 NW",1
"96",-110.76742,32.2205,"TUCSON 8.9 E",2
"97",-110.88288,32.13245,"TUCSON 6.4 SSE",2
"98",-111.8221,35.2302,"BELLEMONT WFO",1
"99",-111.8605,33.7275,"PINNACLE PEAK",0
"100",-111.6444,33.4191,"EAST MESA",1
"101",-111.1696,32.2395,"TUCSON 11 W",1
"102",-110.5087,31.5907,"ELGIN 5 S",2
"103",-110.42809,31.60563,"FT HUACHUCA PIONEER AIRFIELD",1
"104",-110.9302,32.4177,"CATALINA STATE PARK",3
"105",-110.3552,31.8352,"KARTCHNER CAVERNS",3
"106",-114.1884,32.835,"YUMA 27 ENE",0
"107",-112.3374,35.7552,"WILLIAMS 35 NNW",0
"108",-110.9808,32.3391,"TOHONO CHUL",2
"109",-110.78933,33.39025,"GLOBE #3",1
"110",-111.63135,32.81135,"ROBSON RANCH",1
"111",-110.31633,31.56396,"SIERRA VISTA 0.4 ESE",2
"112",-109.2276,32.22792,"SAN SIMON 2.6 S",1
"113",-110.23955,31.50235,"SIERRA VISTA 4.8 SE",1
"114",-110.2502,31.49399,"SIERRA VISTA 4.9 SE",1
"115",-110.2776,31.54899,"SIERRA VISTA 1.3 E",0
"116",-110.3806,31.68673,"WHETSTONE 2.6 SW",2
"117",-110.22668,31.46605,"SIERRA VISTA 7.2 SE",2
"118",-110.23858,31.42333,"HEREFORD 8.4 W",1
"119",-112.19505,35.2432,"WILLIAMS 0.4 SW",0
"120",-111.5874,35.19263,"FLAGSTAFF 3.5 E",0
"121",-111.2922,34.31806,"PAYSON 6.3 NNE",1
"122",-114.27194,35.23276,"GOLDEN VALLEY 2.6 WNW",0
"123",-111.74321,33.42673,"MESA 0.6 NNW",1
"124",-111.84146,33.70997,"SCOTTSDALE 2.3 NE",0
"125",-111.97744,33.78596,"CAVE CREEK 2.9 SSW",0
